feature,label
"[-197.38339233398438, 70.60924530029297, -36.904232025146484, -39.331993103027344, -33.09791946411133, 19.467453002929688, -22.965543746948242, -10.108848571777344, -9.634438514709473, -20.274593353271484, -7.25408411026001, 3.6563637256622314, -11.656245231628418]",marah
"[-259.88983154296875, 45.49772262573242, -63.577056884765625, -34.57138442993164, -20.11275863647461, 5.824068069458008, 4.4516282081604, -16.745397567749023, -11.232656478881836, -2.684439182281494, -16.84072494506836, -3.3890719413757324, -11.371593475341797]",marah
"[-243.55702209472656, -0.15625938773155212, -15.13666820526123, 24.19135093688965, 4.722993850708008, 15.880375862121582, 9.843862533569336, 9.627506256103516, -7.477777481079102, 9.254888534545898, 0.02695745974779129, 0.46297526359558105, 5.183660984039307]",marah
"[-149.64773559570312, 91.37298583984375, -14.467845916748047, 14.253094673156738, 11.881841659545898, 28.178651809692383, 2.860870361328125, 7.218372344970703, 4.941835880279541, 8.458401679992676, 3.926387071609497, -4.775351524353027, -8.305098533630371]",marah
"[-144.85423278808594, 103.63484191894531, -9.92020320892334, 14.164664268493652, 5.54351282119751, 23.275657653808594, 1.472715973854065, 4.439873695373535, 9.005036354064941, 14.30412483215332, 7.309267044067383, 4.457518100738525, -6.739357948303223]",marah
"[-84.67726135253906, 90.53470611572266, -33.68133544921875, -5.642822742462158, 1.6264309883117676, 24.652751922607422, 6.312358856201172, 2.0122992992401123, 2.688767671585083, 9.155984878540039, 5.952232837677002, -0.3700827956199646, -7.092665195465088]",marah
"[-143.89585876464844, 102.99315643310547, -13.729464530944824, 6.136443614959717, -2.1617228984832764, 23.62611961364746, 7.971927165985107, 4.414063453674316, 2.6977832317352295, 2.1121957302093506, 3.3075342178344727, 1.5353819131851196, -5.306173324584961]",marah
"[-186.87608337402344, 121.37863159179688, 6.237092018127441, 14.445268630981445, 1.3466311693191528, 27.174388885498047, 8.189817428588867, 4.399409294128418, 11.235295295715332, 5.823676586151123, 5.136843681335449, 4.573344707489014, -4.249259948730469]",marah
"[-204.61529541015625, 117.00733184814453, 0.8904582262039185, 16.185115814208984, -4.750120162963867, 22.859973907470703, 4.212604522705078, 3.822463035583496, 7.190131664276123, 4.312392711639404, 8.6221342086792, 4.336658954620361, -2.950612783432007]",marah
"[-263.05224609375, 100.5182876586914, -5.6669206619262695, 18.40995979309082, -2.329996109008789, 12.346915245056152, 1.002578854560852, 14.524118423461914, 5.526830196380615, 7.221616268157959, 7.571606636047363, 0.3874709904193878, 0.3585701584815979]",marah
"[-270.3985290527344, 101.10736846923828, -6.229363918304443, 12.04638957977295, 10.301856994628906, 23.655038833618164, 4.245059490203857, 17.08861541748047, 11.407661437988281, 8.288080215454102, 6.170886993408203, 5.582790374755859, 3.8759541511535645]",marah
"[-232.7158660888672, 82.75695037841797, -2.891968250274658, 20.667766571044922, -0.12211894989013672, 21.23552131652832, 9.559206008911133, 9.800393104553223, 7.334036350250244, 10.055757522583008, 17.96417999267578, 3.543102979660034, 0.942072868347168]",marah
"[-109.18677520751953, 66.49398803710938, -15.101313591003418, 18.488162994384766, 5.203135967254639, 28.54154396057129, 10.238631248474121, 5.527061462402344, 5.731832027435303, 12.95511531829834, 20.395957946777344, 12.091407775878906, -5.18029260635376]",marah
"[-266.7124328613281, -11.000073432922363, -17.78554916381836, 27.50788688659668, 2.228618860244751, 11.726485252380371, -4.565449237823486, 11.778188705444336, 3.011976957321167, 13.609997749328613, -8.554948806762695, -3.3008015155792236, 7.779699325561523]",marah
"[-128.21884155273438, 98.5580062866211, -12.94650650024414, 20.680110931396484, 11.591118812561035, 20.343997955322266, 3.1037425994873047, 6.832679271697998, 16.815555572509766, 6.502817630767822, 4.871282577514648, 10.901784896850586, 0.8312314748764038]",marah
